batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-100000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
30500,1.87185,0.26055,0.26055,4.86415e-06
30600,1.87164,0.260992,0.260992,7.03115e-06
30700,1.87169,0.260888,0.260888,4.11363e-06
30800,1.87171,0.260848,0.260848,3.90052e-06
30900,1.87159,0.261092,0.261092,3.88828e-06
31000,1.87172,0.26081,0.26081,3.67265e-06
31100,1.87129,0.261739,0.261739,1.67097e-05
31200,1.87118,0.261934,0.261934,4.40087e-06
31300,1.8721,0.26003,0.26003,3.98994e-06
31400,1.87144,0.261393,0.261393,3.28921e-06
31500,1.8715,0.261275,0.261275,3.43888e-06
31600,1.87168,0.260893,0.260893,3.08428e-06
31700,1.8716,0.26107,0.26107,3.02907e-06
31800,1.8716,0.261066,0.261066,3.09596e-06
31900,1.87145,0.261372,0.261372,2.82343e-06
32000,1.87167,0.260919,0.260919,2.74754e-06
32100,1.8713,0.261684,0.261684,2.73344e-06
32200,1.87198,0.260287,0.260287,8.74163e-06
32300,1.8716,0.261071,0.261071,2.81802e-06
32400,1.87169,0.260888,0.260888,2.73056e-06
32500,1.8712,0.261888,0.261888,2.51919e-06
32600,1.87161,0.261053,0.261053,2.37598e-06
32700,1.87193,0.260378,0.260378,2.4896e-06
32800,1.87159,0.261085,0.261085,2.3315e-06
32900,1.87172,0.260847,0.260847,1.55006e-05
33000,1.8718,0.260652,0.260652,2.36551e-06
33100,1.87149,0.261296,0.261296,2.01932e-06
33200,1.87126,0.261779,0.261779,1.23158e-05
33300,1.87173,0.260799,0.260799,1.83628e-06
33400,1.87156,0.261164,0.261164,1.15469e-05
33500,1.87194,0.260355,0.260355,1.73e-06
33600,1.87205,0.260133,0.260133,1.69735e-06
33700,1.87132,0.26165,0.26165,1.57667e-06
33800,1.87136,0.261565,0.261565,1.65378e-06
33900,1.87152,0.261215,0.261215,1.49323e-06
34000,1.87128,0.261728,0.261728,1.87177e-06
34100,1.8715,0.261275,0.261275,1.89894e-06
34200,1.87154,0.261196,0.261196,1.42177e-06
34300,1.87149,0.261312,0.261312,1.0969e-05
34400,1.87178,0.260678,0.260678,1.50321e-06
34500,1.8715,0.261266,0.261266,1.3318e-06
34600,1.87152,0.261214,0.261214,1.22668e-06
34700,1.87146,0.261347,0.261347,1.41403e-06
34800,1.87151,0.261247,0.261247,1.40369e-06
34900,1.87173,0.260796,0.260796,1.18739e-06
35000,1.87148,0.261309,0.261309,1.20807e-06
35100,1.87159,0.261076,0.261076,1.09171e-06
35200,1.87136,0.261553,0.261553,1.06665e-06
35300,1.87161,0.261045,0.261045,1.10914e-06
35400,1.87114,0.262,0.262,1.15166e-06
35500,1.87127,0.261742,0.261742,1.13189e-06
35600,1.8715,0.261269,0.261269,1.5863e-06
35700,1.87163,0.261001,0.261001,1.10651e-06
35800,1.87141,0.261441,0.261441,1.05984e-06
35900,1.87158,0.261108,0.261108,9.13416e-07
36000,1.87154,0.261197,0.261197,1.36126e-06
36100,1.87172,0.260808,0.260808,9.25462e-07
36200,1.87152,0.261269,0.261269,1.86969e-05
36300,1.87161,0.261035,0.261035,8.22117e-07
36400,1.87155,0.261156,0.261156,8.76726e-07
36500,1.87124,0.261801,0.261801,1.34316e-06
36600,1.87114,0.262004,0.262004,8.60603e-07
36700,1.87086,0.262586,0.262586,7.15441e-07
36800,1.87131,0.261652,0.261652,7.92871e-07
36900,1.87186,0.260537,0.260537,6.5153e-07
37000,1.87165,0.260965,0.260965,7.5359e-07
37100,1.872,0.260247,0.260247,4.81496e-06
37200,1.87129,0.261699,0.261699,6.75121e-07
37300,1.8712,0.261897,0.261897,7.39096e-07
37400,1.87126,0.26176,0.26176,6.4742e-07
37500,1.87157,0.261122,0.261122,5.66895e-07
37600,1.87148,0.261309,0.261309,7.09615e-07
37700,1.87155,0.261152,0.261152,7.07949e-07
37800,1.87148,0.261319,0.261319,5.92589e-07
37900,1.8718,0.260661,0.260661,5.35382e-07
38000,1.87174,0.260778,0.260778,6.19198e-07
38100,1.87143,0.261422,0.261422,6.05954e-07
38200,1.87132,0.261635,0.261635,5.35976e-07
38300,1.87166,0.260927,0.260927,4.96363e-07
38400,1.8715,0.261266,0.261266,7.49116e-07
38500,1.8714,0.261487,0.261487,5.48649e-07
38600,1.87114,0.262008,0.262008,4.40126e-07
38700,1.87123,0.261824,0.261824,4.8554e-07
38800,1.87071,0.262897,0.262897,7.57287e-07
38900,1.8713,0.26168,0.26168,4.33301e-07
39000,1.87157,0.261125,0.261125,1.38137e-06
39100,1.87114,0.262019,0.262019,3.67591e-06
39200,1.87115,0.261985,0.261985,3.83629e-07
39300,1.87143,0.261418,0.261418,8.50599e-07
39400,1.8715,0.261263,0.261263,4.04986e-07
39500,1.87131,0.261666,0.261666,3.32234e-07
39600,1.87134,0.261592,0.261592,4.42515e-07
39700,1.87152,0.261229,0.261229,3.6237e-07
39800,1.87125,0.261778,0.261778,3.08661e-06
39900,1.8712,0.261872,0.261872,3.17049e-07
40000,1.87147,0.261324,0.261324,3.7703e-07
40100,1.8713,0.261687,0.261687,4.03979e-07
